"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2300","Successful course creation","LMS system","Fri Jan 09 12:42:36 UTC 2026","passed","Fri Jan 09 12:42:38 UTC 2026","Courses","Courses","",""
"","2014","Checking charts on dashboard","LMS system","Fri Jan 09 12:42:38 UTC 2026","passed","Fri Jan 09 12:42:40 UTC 2026","Dashboard","Dashboard","",""
"","1873","User register with valid email, username and password","LMS system","Fri Jan 09 12:42:32 UTC 2026","passed","Fri Jan 09 12:42:34 UTC 2026","Registration","Authentication","",""
"","1488","User login with wrong email or password","LMS system","Fri Jan 09 12:42:32 UTC 2026","passed","Fri Jan 09 12:42:34 UTC 2026","Authorization","Authentication","",""
"","1899","User login with wrong email or password","LMS system","Fri Jan 09 12:42:30 UTC 2026","passed","Fri Jan 09 12:42:32 UTC 2026","Authorization","Authentication","",""
"","3092","Successful course edition","LMS system","Fri Jan 09 12:42:37 UTC 2026","passed","Fri Jan 09 12:42:40 UTC 2026","Courses","Courses","",""
"","1801","User login with wrong email or password","LMS system","Fri Jan 09 12:42:30 UTC 2026","passed","Fri Jan 09 12:42:32 UTC 2026","Authorization","Authentication","",""
"","1424","Checking empty courses list view","LMS system","Fri Jan 09 12:42:36 UTC 2026","passed","Fri Jan 09 12:42:37 UTC 2026","Courses","Courses","",""
