"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1725","User login with wrong email or password","LMS system","Fri Jan 09 12:05:34 UTC 2026","passed","Fri Jan 09 12:05:35 UTC 2026","Authorization","Authentication","",""
"","1578","User login with wrong email or password","LMS system","Fri Jan 09 12:05:36 UTC 2026","passed","Fri Jan 09 12:05:37 UTC 2026","Authorization","Authentication","",""
"","2195","Successful course creation","LMS system","Fri Jan 09 12:05:39 UTC 2026","passed","Fri Jan 09 12:05:41 UTC 2026","Courses","Courses","",""
"","1972","User register with valid email, username and password","LMS system","Fri Jan 09 12:05:36 UTC 2026","passed","Fri Jan 09 12:05:38 UTC 2026","Registration","Authentication","",""
"","1763","User login with wrong email or password","LMS system","Fri Jan 09 12:05:34 UTC 2026","passed","Fri Jan 09 12:05:35 UTC 2026","Authorization","Authentication","",""
"","1467","Checking empty courses list view","LMS system","Fri Jan 09 12:05:39 UTC 2026","passed","Fri Jan 09 12:05:41 UTC 2026","Courses","Courses","",""
"","1627","Checking charts on dashboard","LMS system","Fri Jan 09 12:05:41 UTC 2026","passed","Fri Jan 09 12:05:43 UTC 2026","Dashboard","Dashboard","",""
"","2556","Successful course edition","LMS system","Fri Jan 09 12:05:42 UTC 2026","passed","Fri Jan 09 12:05:44 UTC 2026","Courses","Courses","",""
