"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1747","Checking charts on dashboard","LMS system","Sun Feb 08 11:27:45 UTC 2026","passed","Sun Feb 08 11:27:46 UTC 2026","Dashboard","Dashboard","",""
"","2311","Successful course creation","LMS system","Sun Feb 08 11:27:43 UTC 2026","passed","Sun Feb 08 11:27:45 UTC 2026","Courses","Courses","",""
"","1409","User login with wrong email or password","LMS system","Sun Feb 08 11:27:40 UTC 2026","passed","Sun Feb 08 11:27:41 UTC 2026","Authorization","Authentication","",""
"","1395","Checking empty courses list view","LMS system","Sun Feb 08 11:27:43 UTC 2026","passed","Sun Feb 08 11:27:44 UTC 2026","Courses","Courses","",""
"","2433","Successful course edition","LMS system","Sun Feb 08 11:27:45 UTC 2026","passed","Sun Feb 08 11:27:48 UTC 2026","Courses","Courses","",""
"","1904","User register with valid email, username and password","LMS system","Sun Feb 08 11:27:39 UTC 2026","passed","Sun Feb 08 11:27:41 UTC 2026","Registration","Authentication","",""
"","1855","User login with wrong email or password","LMS system","Sun Feb 08 11:27:37 UTC 2026","passed","Sun Feb 08 11:27:39 UTC 2026","Authorization","Authentication","",""
"","1628","User login with wrong email or password","LMS system","Sun Feb 08 11:27:37 UTC 2026","passed","Sun Feb 08 11:27:39 UTC 2026","Authorization","Authentication","",""
