"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1353","Checking empty courses list view","LMS system","Sat Feb 07 23:19:25 UTC 2026","passed","Sat Feb 07 23:19:26 UTC 2026","Courses","Courses","",""
"","2652","User register with valid email, username and password","LMS system","Sat Feb 07 23:19:22 UTC 2026","passed","Sat Feb 07 23:19:25 UTC 2026","Registration","Authentication","",""
"","3142","Successful course edition","LMS system","Sat Feb 07 23:19:27 UTC 2026","passed","Sat Feb 07 23:19:30 UTC 2026","Courses","Courses","",""
"","2363","Successful course creation","LMS system","Sat Feb 07 23:19:26 UTC 2026","passed","Sat Feb 07 23:19:29 UTC 2026","Courses","Courses","",""
"","2167","User login with wrong email or password","LMS system","Sat Feb 07 23:19:19 UTC 2026","passed","Sat Feb 07 23:19:22 UTC 2026","Authorization","Authentication","",""
"","2107","User login with wrong email or password","LMS system","Sat Feb 07 23:19:19 UTC 2026","passed","Sat Feb 07 23:19:22 UTC 2026","Authorization","Authentication","",""
"","1710","Checking charts on dashboard","LMS system","Sat Feb 07 23:19:29 UTC 2026","passed","Sat Feb 07 23:19:31 UTC 2026","Dashboard","Dashboard","",""
"","1232","User login with wrong email or password","LMS system","Sat Feb 07 23:19:22 UTC 2026","passed","Sat Feb 07 23:19:23 UTC 2026","Authorization","Authentication","",""
