"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2035","Checking charts on dashboard","LMS system","Fri Jan 09 12:09:57 UTC 2026","passed","Fri Jan 09 12:09:59 UTC 2026","Dashboard","Dashboard","",""
"","1696","User login with wrong email or password","LMS system","Fri Jan 09 12:09:49 UTC 2026","passed","Fri Jan 09 12:09:50 UTC 2026","Authorization","Authentication","",""
"","1690","User login with wrong email or password","LMS system","Fri Jan 09 12:09:49 UTC 2026","passed","Fri Jan 09 12:09:50 UTC 2026","Authorization","Authentication","",""
"","1379","Checking empty courses list view","LMS system","Fri Jan 09 12:09:54 UTC 2026","passed","Fri Jan 09 12:09:56 UTC 2026","Courses","Courses","",""
"","2328","Successful course creation","LMS system","Fri Jan 09 12:09:54 UTC 2026","passed","Fri Jan 09 12:09:57 UTC 2026","Courses","Courses","",""
"","1436","User login with wrong email or password","LMS system","Fri Jan 09 12:09:51 UTC 2026","passed","Fri Jan 09 12:09:52 UTC 2026","Authorization","Authentication","",""
"","1854","User register with valid email, username and password","LMS system","Fri Jan 09 12:09:51 UTC 2026","passed","Fri Jan 09 12:09:53 UTC 2026","Registration","Authentication","",""
"","3402","Successful course edition","LMS system","Fri Jan 09 12:09:56 UTC 2026","passed","Fri Jan 09 12:09:59 UTC 2026","Courses","Courses","",""
